Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -0.81000      2.25290      1.34664      0.90627
     -0.80000      1.82706      1.19429      0.63277
     -0.79000      1.92738      1.29639      0.63099
     -0.78000      2.32097      1.56218      0.75879
     -0.77000      2.64346      1.77935      0.86410
     -0.76000      3.16681      2.10436      1.06246
     -0.75000      3.29869      2.21995      1.07874
     -0.74000      4.27799      2.98229      1.29570
     -0.73000      5.78629      4.03683      1.74946
     -0.72000      5.19476      3.52320      1.67156
     -0.71000      3.60963      2.35775      1.25188
     -0.70000      2.94775      1.97051      0.97724
     -0.69000      2.69266      1.86434      0.82833
     -0.68000      2.76482      1.88014      0.88468
     -0.67000      3.83572      2.55827      1.27745
     -0.66000      4.79944      3.26092      1.53852
     -0.65000      3.83354      2.63342      1.20012
     -0.64000      2.05992      1.35720      0.70272
     -0.63000      1.78968      1.09768      0.69200
     -0.62000      3.24983      2.04634      1.20349
     -0.61000      3.46057      2.23336      1.22721
     -0.60000      1.87201      1.19249      0.67952
     -0.59000      1.77942      1.07076      0.70866
     -0.58000      3.29789      2.07093      1.22696
     -0.57000      4.88304      3.17474      1.70830
     -0.56000      5.09697      3.35889      1.73808
     -0.55000      3.16366      2.10855      1.05511
     -0.54000      1.38297      0.91560      0.46738
     -0.53000      1.67841      1.04992      0.62849
     -0.52000      2.56690      1.60522      0.96169
     -0.51000      2.45672      1.59045      0.86626
     -0.50000      2.16707      1.43631      0.73077
     -0.49000      2.13885      1.39927      0.73959
     -0.48000      2.34197      1.51383      0.82815
     -0.47000      2.80204      1.88278      0.91926
     -0.46000      3.21685      2.19609      1.02076
     -0.45000      3.80862      2.49753      1.31110
     -0.44000      4.08312      2.60776      1.47536
     -0.43000      3.07574      1.96079      1.11494
     -0.42000      2.13023      1.37822      0.75201
     -0.41000      1.73705      1.17875      0.55830
     -0.40000      1.90705      1.31212      0.59493
     -0.39000      2.57436      1.71283      0.86153
     -0.38000      2.36385      1.53022      0.83362
     -0.37000      1.55888      1.00956      0.54933
     -0.36000      1.84170      1.24996      0.59174
     -0.35000      3.60886      2.51558      1.09327
     -0.34000      5.21798      3.64103      1.57694
     -0.33000      4.14246      2.84988      1.29258
     -0.32000      1.96684      1.34169      0.62514
     -0.31000      1.18247      0.80782      0.37465
     -0.30000      1.55409      1.05631      0.49779
     -0.29000      2.27937      1.58615      0.69322
     -0.28000      3.08065      2.19619      0.88447
     -0.27000      2.74891      1.95902      0.78989
     -0.26000      1.69907      1.19404      0.50503
     -0.25000      1.54158      1.07857      0.46300
     -0.24000      1.70326      1.20925      0.49402
     -0.23000      2.17371      1.57493      0.59878
     -0.22000      2.85915      2.11829      0.74087
     -0.21000      2.78681      2.10179      0.68502
     -0.20000      1.70427      1.28099      0.42329
     -0.19000      0.89328      0.65055      0.24274
     -0.18000      0.86111      0.63573      0.22538
     -0.17000      0.89504      0.68185      0.21319
     -0.16000      0.73683      0.57327      0.16356
