Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -1.61112      6.16518      0.00000      0.00000
     -1.60112      5.61366      0.00000      0.00000
     -1.59112      5.91360      0.00000      0.00000
     -1.58112      7.07804      0.00000      0.00000
     -1.57112      6.53488      0.00000      0.00000
     -1.56112      5.43777      0.00000      0.00000
     -1.55112      5.14609      0.00000      0.00000
     -1.54112      5.47717      0.00000      0.00000
     -1.53112      5.94706      0.00000      0.00000
     -1.52112      5.69049      0.00000      0.00000
     -1.51112      6.35017      0.00000      0.00000
     -1.50112      6.56986      0.00000      0.00000
     -1.49112      5.33626      0.00000      0.00000
     -1.48112      4.91073      0.00000      0.00000
     -1.47112      5.30233      0.00000      0.00000
     -1.46112      4.52845      0.00000      0.00000
     -1.45112      3.69877      0.00000      0.00000
     -1.44112      4.28187      0.00000      0.00000
     -1.43112      5.27097      0.00000      0.00000
     -1.42112      5.55365      0.00000      0.00000
     -1.41112      5.12278      0.00000      0.00000
     -1.40112      4.59046      0.00000      0.00000
     -1.39112      4.57312      0.00000      0.00000
     -1.38112      4.23841      0.00000      0.00000
     -1.37112      3.73278      0.00000      0.00000
     -1.36112      3.98475      0.00000      0.00000
     -1.35112      4.37061      0.00000      0.00000
     -1.34112      4.76842      0.00000      0.00000
     -1.33112      5.40062      0.00000      0.00000
     -1.32112      5.69515      0.00000      0.00000
     -1.31112      5.46304      0.00000      0.00000
     -1.30112      4.31397      0.00000      0.00000
     -1.29112      3.35997      0.00000      0.00000
     -1.28112      3.36769      0.00000      0.00000
     -1.27112      4.08973      0.00000      0.00000
     -1.26112      4.84491      0.00000      0.00000
     -1.25112      4.58128      0.00000      0.00000
     -1.24112      4.64735      0.00000      0.00000
     -1.23112      4.66900      0.00000      0.00000
     -1.22112      4.28489      0.00000      0.00000
     -1.21112      3.73445      0.00000      0.00000
     -1.20112      3.02647      0.00000      0.00000
     -1.19112      2.48105      0.00000      0.00000
     -1.18112      1.80698      0.00000      0.00000
     -1.17112      1.41245      0.00000      0.00000
     -1.16112      1.01556      0.00000      0.00000
     -1.15112      0.88687      0.00000      0.00000
     -1.14112      1.33808      0.00000      0.00000
     -1.13112      1.56867      0.00000      0.00000
     -1.12112      1.15985      0.00000      0.00000
     -1.11112      0.75870      0.00000      0.00000
     -1.10112      1.08752      0.00000      0.00000
     -1.09112      1.69077      0.00000      0.00000
     -1.08112      1.76844      0.00000      0.00000
     -1.07112      2.42880      0.00000      0.00000
     -1.06112      2.70824      0.00000      0.00000
     -1.05112      1.86145      0.00000      0.00000
     -1.04112      2.13588      0.00000      0.00000
     -1.03112      2.93795      0.00000      0.00000
     -1.02112      2.99149      0.00000      0.00000
     -1.01112      2.96895      0.00000      0.00000
     -1.00112      3.20768      0.00000      0.00000
     -0.99112      3.73113      0.00000      0.00000
     -0.98112      3.56185      0.00000      0.00000
     -0.97112      3.04361      0.00000      0.00000
     -0.96112      3.07766      0.00000      0.00000
     -0.95112      3.56090      0.00000      0.00000
     -0.94112      3.79143      0.00000      0.00000
     -0.93112      4.07510      0.00000      0.00000
     -0.92112      4.74572      0.00000      0.00000
     -0.91112      4.80745      0.00000      0.00000
     -0.90112      4.59126      0.00000      0.00000
     -0.89112      5.50530      0.00000      0.00000
     -0.88112      7.99373      0.00000      0.00000
     -0.87112      9.29845      0.00000      0.00000
     -0.86112      7.50718      0.00000      0.00000
     -0.85112      6.16353      0.00000      0.00000
     -0.84112      6.39318      0.00000      0.00000
     -0.83112      6.54709      0.00000      0.00000
     -0.82112      6.00643      0.00000      0.00000
     -0.81112      5.94200      0.00000      0.00000
     -0.80112      7.13516      0.00000      0.00000
     -0.79112      7.83754      0.00000      0.00000
     -0.78112      7.99027      0.00000      0.00000
     -0.77112      8.42444      0.00000      0.00000
     -0.76112      8.26810      0.00000      0.00000
     -0.75112      6.67971      0.00000      0.00000
     -0.74112      5.81119      0.00000      0.00000
     -0.73112      5.30385      0.00000      0.00000
     -0.72112      5.76123      0.00000      0.00000
     -0.71112      7.22590      0.00000      0.00000
     -0.70112      6.90761      0.00000      0.00000
     -0.69112      5.24669      0.00000      0.00000
     -0.68112      4.27301      0.00000      0.00000
     -0.67112      5.39533      0.00000      0.00000
     -0.66112      6.74325      0.00000      0.00000
     -0.65112      6.50413      0.00000      0.00000
     -0.64112      5.52926      0.00000      0.00000
     -0.63112      4.28546      0.00000      0.00000
     -0.62112      5.12707      0.00000      0.00000
     -0.61112      6.91703      0.00000      0.00000
     -0.60112      6.35511      0.00000      0.00000
